x1,y1,z1,theta1,x2,y2,z2,theta2,x3,y3,z3,theta3,x4,y4,z4,theta4,x5,y5,z5,theta5
0.000000,110.000000,0.000000,56.287003,400.000000,51.232272,50.000000,19.154668,0.000000,64.246454,100.000000,0.725402,400.000000,60.000000,150.000000,32.142030,0.000000,25.808768,200.000000,29.383900
0.400000,110.599480,0.000000,56.233998,399.600000,51.371212,50.000000,19.778554,0.400000,64.251519,100.000000,0.969024,399.600000,60.251329,150.000000,32.137954,0.400000,26.034008,200.000000,29.447223
0.800000,111.197761,0.000000,56.170251,399.200000,51.515051,50.000000,20.393352,0.800000,64.258285,100.000000,1.214038,399.200000,60.502618,150.000000,32.129801,0.800000,26.259831,200.000000,29.504511
1.200000,111.794603,0.000000,56.095697,398.800000,51.663757,50.000000,20.998972,1.200000,64.266761,100.000000,1.460361,398.800000,60.753827,150.000000,32.117571,1.200000,26.486182,200.000000,29.555778
1.600000,112.389769,0.000000,56.010259,398.400000,51.817295,50.000000,21.595340,1.600000,64.276959,100.000000,1.707913,398.400000,61.004918,150.000000,32.101262,1.600000,26.713005,200.000000,29.601041
2.000000,112.983022,0.000000,55.913847,398.000000,51.975628,50.000000,22.182392,2.000000,64.288886,100.000000,1.956610,398.000000,61.255849,150.000000,32.080872,2.000000,26.940246,200.000000,29.640313
2.400000,113.574128,0.000000,55.806354,397.600000,52.138722,50.000000,22.760075,2.400000,64.302551,100.000000,2.206368,397.600000,61.506583,150.000000,32.056399,2.400000,27.167850,200.000000,29.673608
2.800000,114.162850,0.000000,55.687662,397.200000,52.306538,50.000000,23.328350,2.800000,64.317962,100.000000,2.457102,397.200000,61.757078,150.000000,32.027840,2.800000,27.395762,200.000000,29.700940
3.200000,114.748957,0.000000,55.557639,396.800000,52.479040,50.000000,23.887187,3.200000,64.335126,100.000000,2.708725,396.800000,62.007296,150.000000,31.995193,3.200000,27.623927,200.000000,29.722322
3.600000,115.332217,0.000000,55.416135,396.400000,52.656189,50.000000,24.436567,3.600000,64.354051,100.000000,2.961153,396.400000,62.257198,150.000000,31.958453,3.600000,27.852289,200.000000,29.737764
4.000000,115.912399,0.000000,55.262989,396.000000,52.837945,50.000000,24.976478,4.000000,64.374742,100.000000,3.214296,396.000000,62.506742,150.000000,31.917617,4.000000,28.080795,200.000000,29.747278
4.400000,116.489276,0.000000,55.098023,395.600000,53.024268,50.000000,25.506920,4.400000,64.397206,100.000000,3.468069,395.600000,62.755891,150.000000,31.872681,4.400000,28.309388,200.000000,29.750876
4.800000,117.062620,0.000000,54.921044,395.200000,53.215118,50.000000,26.027901,4.800000,64.421447,100.000000,3.722381,395.200000,63.004604,150.000000,31.823639,4.800000,28.538015,200.000000,29.748565
5.200000,117.632207,0.000000,54.731844,394.800000,53.410452,50.000000,26.539436,5.200000,64.447471,100.000000,3.977144,394.800000,63.252843,150.000000,31.770487,5.200000,28.766621,200.000000,29.740356
5.600000,118.197814,0.000000,54.530199,394.400000,53.610228,50.000000,27.041548,5.600000,64.475281,100.000000,4.232268,394.400000,63.500569,150.000000,31.713218,5.600000,28.995150,200.000000,29.726257
6.000000,118.759219,0.000000,54.315868,394.000000,53.814404,50.000000,27.534269,6.000000,64.504882,100.000000,4.487665,394.000000,63.747741,150.000000,31.651828,6.000000,29.223549,200.000000,29.706276
6.400000,119.316203,0.000000,54.088594,393.600000,54.022935,50.000000,28.017634,6.400000,64.536276,100.000000,4.743242,393.600000,63.994322,150.000000,31.586308,6.400000,29.451763,200.000000,29.680420
6.800000,119.868550,0.000000,53.848101,393.200000,54.235777,50.000000,28.491687,6.800000,64.569466,100.000000,4.998910,393.200000,64.240272,150.000000,31.516654,6.800000,29.679738,200.000000,29.648696
7.200000,120.416045,0.000000,53.594099,392.800000,54.452884,50.000000,28.956476,7.200000,64.604453,100.000000,5.254579,392.800000,64.485552,150.000000,31.442857,7.200000,29.907420,200.000000,29.611108
7.600000,120.958474,0.000000,53.326278,392.400000,54.674210,50.000000,29.412055,7.600000,64.641241,100.000000,5.510156,392.400000,64.730124,150.000000,31.364910,7.600000,30.134754,200.000000,29.567664
8.000000,121.495629,0.000000,53.044308,392.000000,54.899710,50.000000,29.858483,8.000000,64.679828,100.000000,5.765551,392.000000,64.973949,150.000000,31.282805,8.000000,30.361687,200.000000,29.518367
8.400000,122.027302,0.000000,52.747843,391.600000,55.129334,50.000000,30.295821,8.400000,64.720215,100.000000,6.020673,391.600000,65.216988,150.000000,31.196535,8.400000,30.588166,200.000000,29.463221
8.800000,122.553288,0.000000,52.436517,391.200000,55.363036,50.000000,30.724138,8.800000,64.762403,100.000000,6.275431,391.200000,65.459204,150.000000,31.106091,8.800000,30.814136,200.000000,29.402231
9.200000,123.073384,0.000000,52.109943,390.800000,55.600767,50.000000,31.143504,9.200000,64.806390,100.000000,6.529733,390.800000,65.700557,150.000000,31.011463,9.200000,31.039545,200.000000,29.335399
9.600000,123.587390,0.000000,51.767715,390.400000,55.842477,50.000000,31.553991,9.600000,64.852174,100.000000,6.783489,390.400000,65.941011,150.000000,30.912644,9.600000,31.264339,200.000000,29.262728
10.000000,124.095111,0.000000,51.409407,390.000000,56.088116,50.000000,31.955676,10.000000,64.899754,100.000000,7.036607,390.000000,66.180525,150.000000,30.809625,10.000000,31.488467,200.000000,29.184220
10.400000,124.596351,0.000000,51.034571,389.600000,56.337634,50.000000,32.348638,10.400000,64.949128,100.000000,7.288998,389.600000,66.419064,150.000000,30.702394,10.400000,31.711875,200.000000,29.099878
10.800000,125.090920,0.000000,50.642737,389.200000,56.590979,50.000000,32.732957,10.800000,65.000291,100.000000,7.540571,389.200000,66.656590,150.000000,30.590943,10.800000,31.934511,200.000000,29.009701
11.200000,125.578629,0.000000,50.233415,388.800000,56.848099,50.000000,33.108716,11.200000,65.053240,100.000000,7.791236,388.800000,66.893064,150.000000,30.475263,11.200000,32.156323,200.000000,28.913692
11.600000,126.059293,0.000000,49.806093,388.400000,57.108942,50.000000,33.476000,11.600000,65.107971,100.000000,8.040904,388.400000,67.128449,150.000000,30.355342,11.600000,32.377259,200.000000,28.811852
12.000000,126.532732,0.000000,49.360236,388.000000,57.373456,50.000000,33.834894,12.000000,65.164478,100.000000,8.289486,388.000000,67.362709,150.000000,30.231171,12.000000,32.597269,200.000000,28.704180
12.400000,126.998765,0.000000,48.895288,387.600000,57.641585,50.000000,34.185485,12.400000,65.222757,100.000000,8.536893,387.600000,67.595806,150.000000,30.102739,12.400000,32.816301,200.000000,28.590678
12.800000,127.457217,0.000000,48.410671,387.200000,57.913277,50.000000,34.527859,12.800000,65.282801,100.000000,8.783037,387.200000,67.827703,150.000000,29.970037,12.800000,33.034303,200.000000,28.471345
13.200000,127.907917,0.000000,47.905784,386.800000,58.188476,50.000000,34.862106,13.200000,65.344603,100.000000,9.027831,386.800000,68.058364,150.000000,29.833052,13.200000,33.251227,200.000000,28.346181
13.600000,128.350696,0.000000,47.380004,386.400000,58.467127,50.000000,35.188312,13.600000,65.408156,100.000000,9.271188,386.400000,68.287753,150.000000,29.691775,13.600000,33.467020,200.000000,28.215187
14.000000,128.785388,0.000000,46.832690,386.000000,58.749173,50.000000,35.506568,14.000000,65.473452,100.000000,9.513023,386.000000,68.515833,150.000000,29.546196,14.000000,33.681635,200.000000,28.078362
14.400000,129.211832,0.000000,46.263178,385.600000,59.034560,50.000000,35.816960,14.400000,65.540482,100.000000,9.753249,385.600000,68.742568,150.000000,29.396302,14.400000,33.895021,200.000000,27.935706
14.800000,129.629870,0.000000,45.670786,385.200000,59.323229,50.000000,36.119578,14.800000,65.609238,100.000000,9.991783,385.200000,68.967922,150.000000,29.242085,14.800000,34.107130,200.000000,27.787220
15.200000,130.039347,0.000000,45.054812,384.800000,59.615123,50.000000,36.414510,15.200000,65.679710,100.000000,10.228541,384.800000,69.191861,150.000000,29.083533,15.200000,34.317912,200.000000,27.632904
15.600000,130.440113,0.000000,44.414541,384.400000,59.910185,50.000000,36.701842,15.600000,65.751887,100.000000,10.463441,384.400000,69.414347,150.000000,28.920635,15.600000,34.527319,200.000000,27.472757
16.000000,130.832021,0.000000,43.749240,384.000000,60.208356,50.000000,36.981662,16.000000,65.825759,100.000000,10.696400,384.000000,69.635347,150.000000,28.753382,16.000000,34.735304,200.000000,27.306782
16.400000,131.214927,0.000000,43.058166,383.600000,60.509577,50.000000,37.254056,16.400000,65.901313,100.000000,10.927337,383.600000,69.854825,150.000000,28.581763,16.400000,34.941820,200.000000,27.134979
16.800000,131.588693,0.000000,42.340567,383.200000,60.813789,50.000000,37.519108,16.800000,65.978539,100.000000,11.156173,383.200000,70.072747,150.000000,28.405769,16.800000,35.146818,200.000000,26.957350
17.200000,131.953183,0.000000,41.595685,382.800000,61.120931,50.000000,37.776903,17.200000,66.057423,100.000000,11.382829,382.800000,70.289079,150.000000,28.225389,17.200000,35.350253,200.000000,26.773897
17.600000,132.308266,0.000000,40.822761,382.400000,61.430945,50.000000,38.027525,17.600000,66.137953,100.000000,11.607227,382.400000,70.503785,150.000000,28.040614,17.600000,35.552079,200.000000,26.584622
18.000000,132.653814,0.000000,40.021036,382.000000,61.743769,50.000000,38.271054,18.000000,66.220114,100.000000,11.829289,382.000000,70.716832,150.000000,27.851434,18.000000,35.752250,200.000000,26.389529
18.400000,132.989704,0.000000,39.189765,381.600000,62.059342,50.000000,38.507573,18.400000,66.303891,100.000000,12.048941,381.600000,70.928188,150.000000,27.657842,18.400000,35.950721,200.000000,26.188622
18.800000,133.315817,0.000000,38.328212,381.200000,62.377602,50.000000,38.737159,18.800000,66.389271,100.000000,12.266108,381.200000,71.137817,150.000000,27.459828,18.800000,36.147446,200.000000,25.981906
19.200000,133.632038,0.000000,37.435668,380.800000,62.698489,50.000000,38.959891,19.200000,66.476237,100.000000,12.480715,380.800000,71.345688,150.000000,27.257384,19.200000,36.342383,200.000000,25.769387
19.600000,133.938256,0.000000,36.511451,380.400000,63.021939,50.000000,39.175846,19.600000,66.564774,100.000000,12.692691,380.400000,71.551766,150.000000,27.050503,19.600000,36.535487,200.000000,25.551071
20.000000,134.234364,0.000000,35.554917,380.000000,63.347891,50.000000,39.385099,20.000000,66.654864,100.000000,12.901965,380.000000,71.756021,150.000000,26.839179,20.000000,36.726715,200.000000,25.326966
20.400000,134.520260,0.000000,34.565473,379.600000,63.676280,50.000000,39.587722,20.400000,66.746491,100.000000,13.108465,379.600000,71.958419,150.000000,26.623403,20.400000,36.916025,200.000000,25.097082
20.800000,134.795846,0.000000,33.542583,379.200000,64.007045,50.000000,39.783788,20.800000,66.839636,100.000000,13.312124,379.200000,72.158928,150.000000,26.403172,20.800000,37.103374,200.000000,24.861428
21.200000,135.061028,0.000000,32.485784,378.800000,64.340120,50.000000,39.973368,21.200000,66.934282,100.000000,13.512874,378.800000,72.357518,150.000000,26.178478,21.200000,37.288720,200.000000,24.620017
21.600000,135.315717,0.000000,31.394694,378.400000,64.675443,50.000000,40.156528,21.600000,67.030408,100.000000,13.710647,378.400000,72.554155,150.000000,25.949319,21.600000,37.472024,200.000000,24.372860
22.000000,135.559827,0.000000,30.269031,378.000000,65.012950,50.000000,40.333338,22.000000,67.127996,100.000000,13.905379,378.000000,72.748811,150.000000,25.715690,22.000000,37.653243,200.000000,24.119974
22.400000,135.793278,0.000000,29.108622,377.600000,65.352575,50.000000,40.503860,22.400000,67.227026,100.000000,14.097006,377.600000,72.941453,150.000000,25.477589,22.400000,37.832339,200.000000,23.861373
22.800000,136.015994,0.000000,27.913421,377.200000,65.694254,50.000000,40.668160,22.800000,67.327477,100.000000,14.285463,377.200000,73.132051,150.000000,25.235013,22.800000,38.009272,200.000000,23.597077
23.200000,136.227903,0.000000,26.683522,376.800000,66.037921,50.000000,40.826297,23.200000,67.429328,100.000000,14.470691,376.800000,73.320575,150.000000,24.987962,23.200000,38.184004,200.000000,23.327105
23.600000,136.428938,0.000000,25.419175,376.400000,66.383513,50.000000,40.978333,23.600000,67.532556,100.000000,14.652627,376.400000,73.506996,150.000000,24.736436,23.600000,38.356495,200.000000,23.051478
24.000000,136.619036,0.000000,24.120800,376.000000,66.730962,50.000000,41.124325,24.000000,67.637141,100.000000,14.831213,376.000000,73.691284,150.000000,24.480435,24.000000,38.526709,200.000000,22.770221
24.400000,136.798139,0.000000,22.789000,375.600000,67.080203,50.000000,41.264329,24.400000,67.743059,100.000000,15.006391,375.600000,73.873409,150.000000,24.219962,24.400000,38.694609,200.000000,22.483360
24.800000,136.966193,0.000000,21.424578,375.200000,67.431171,50.000000,41.398399,24.800000,67.850286,100.000000,15.178102,375.200000,74.053344,150.000000,23.955020,24.800000,38.860159,200.000000,22.190923
25.200000,137.123150,0.000000,20.028543,374.800000,67.783798,50.000000,41.526589,25.200000,67.958800,100.000000,15.346292,374.800000,74.231059,150.000000,23.685614,25.200000,39.023322,200.000000,21.892940
25.600000,137.268963,0.000000,18.602120,374.400000,68.138019,50.000000,41.648948,25.600000,68.068575,100.000000,15.510905,374.400000,74.406527,150.000000,23.411749,25.600000,39.184063,200.000000,21.589444
26.000000,137.403595,0.000000,17.146759,374.000000,68.493768,50.000000,41.765525,26.000000,68.179587,100.000000,15.671888,374.000000,74.579720,150.000000,23.133433,26.000000,39.342349,200.000000,21.280472
26.400000,137.527008,0.000000,15.664137,373.600000,68.850976,50.000000,41.876368,26.400000,68.291810,100.000000,15.829189,373.600000,74.750610,150.000000,22.850675,26.400000,39.498146,200.000000,20.966061
26.800000,137.639173,0.000000,14.156156,373.200000,69.209578,50.000000,41.981521,26.800000,68.405218,100.000000,15.982756,373.200000,74.919171,150.000000,22.563484,26.800000,39.651420,200.000000,20.646252
27.200000,137.740063,0.000000,12.624940,372.800000,69.569506,50.000000,42.081028,27.200000,68.519786,100.000000,16.132538,372.800000,75.085376,150.000000,22.271872,27.200000,39.802138,200.000000,20.321090
27.600000,137.829656,0.000000,11.072827,372.400000,69.930693,50.000000,42.174930,27.600000,68.635487,100.000000,16.278487,372.400000,75.249199,150.000000,21.975853,27.600000,39.950270,200.000000,19.990621
28.000000,137.907936,0.000000,9.502353,372.000000,70.293072,50.000000,42.263267,28.000000,68.752292,100.000000,16.420554,372.000000,75.410613,150.000000,21.675441,28.000000,40.095784,200.000000,19.654894
28.400000,137.974890,0.000000,7.916238,371.600000,70.656576,50.000000,42.346077,28.400000,68.870174,100.000000,16.558692,371.600000,75.569594,150.000000,21.370653,28.400000,40.238650,200.000000,19.313963
28.800000,138.030510,0.000000,6.317363,371.200000,71.021136,50.000000,42.423395,28.800000,68.989105,100.000000,16.692855,371.200000,75.726116,150.000000,21.061508,28.800000,40.378837,200.000000,18.967885
29.200000,138.074794,0.000000,4.708742,370.800000,71.386686,50.000000,42.495255,29.200000,69.109057,100.000000,16.822999,370.800000,75.880154,150.000000,20.748026,29.200000,40.516318,200.000000,18.616718
29.600000,138.107741,0.000000,3.093493,370.400000,71.753157,50.000000,42.561691,29.600000,69.229999,100.000000,16.949078,370.400000,76.031685,150.000000,20.430228,29.600000,40.651062,200.000000,18.260526
